Wave           C       CI      N       O       Na      Mg      Al      Si      P       S       K       Ca      Ti      TiII    V       Cr      Mn      Fe      Co      Ni      Cu      Ge      Rb      Ce      Nd      Yb   
   15162.891   0.120   0.000   0.298   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.203   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   15163.100   0.092   0.000   0.288   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.497   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   15163.310   0.064   0.000   0.215   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.596   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   15163.519   0.059   0.000   0.138   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.403   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   15163.729   0.026   0.000   0.068   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.055   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   15163.938   0.011   0.000   0.033   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.153   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   15164.147   0.005   0.000   0.015   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.208   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   15164.357   0.000   0.000   0.008   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.257   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   15164.567   0.000   0.000   0.008   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.371   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   15164.776   0.000   0.000   0.009   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.437   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
