2M13430354+2823003   0.702 M3
2M13430354+2823003   0.696 M3
2M13430354+2823003   0.702 M3
2M13430874+2812335   1.802 M3
2M13430874+2812335   1.805 M3
2M13430874+2812335   1.800 M3
2M13431133+2823214   2.405 M3
2M13431597+2809063   2.305 M3
2M13431597+2809063   2.310 M3
2M13433625+2820593   1.640 M3
2M13433625+2820593   1.640 M3
2M15171587+0159323   1.623 M5
2M15171587+0159323   1.618 M5
2M15173864+0202251   1.787 M5
2M15173864+0202251   1.770 M5
2M15174676+0204305   1.962 M5
2M15174702+0204519   1.265 M5
2M15174702+0204519   1.276 M5
2M15175206+0159462   2.425 M5
2M15175526+0207249   2.043 M5
2M15175554+0217164   2.306 M5
2M15175895+0206239   1.585 M5
2M15175895+0206239   1.576 M5
2M15180013+0209292   0.639 M5
2M15180013+0209292   0.637 M5
2M15180078+0211530   1.633 M5
2M15180078+0211530   1.643 M5
2M15180407+0205557   1.247 M5
2M15180407+0205557   1.245 M5
2M15180449+0201030   1.168 M5
2M15180456+0205441   2.172 M5
2M15180481+0200549   1.860 M5
2M15180537+0202015   0.932 M5
2M15180537+0202015   0.930 M5
2M15180831+0158530   1.987 M5
2M15180892+0206285   1.080 M5
2M15180892+0206285   1.081 M5
2M15180987+0210088   1.587 M5
2M15180987+0210088   1.585 M5
2M15181037+0157308   2.324 M5
2M15181041+0203321   1.012 M5
2M15181075+0212356   2.007 M5
2M15181075+0212356   1.982 M5
2M15181098+0201063   2.366 M5
2M15181110+0203360   2.105 M5
2M15181140+0204111   2.276 M5
2M15181232+0202560   2.287 M5
2M15181260+0203102   1.549 M5
2M15181353+0200297   2.280 M5
2M15181445+0203131   1.855 M5
2M15181619+0205358   2.332 M5
2M15181629+0202099   1.004 M5
2M15181629+0202099   1.003 M5
2M15181644+0207177   1.856 M5
2M15181745+0203280   2.247 M5
2M15181765+0210375   1.138 M5
2M15181765+0210375   1.141 M5
2M15181841+0203547   1.843 M5
2M15181867+0204327   0.674 M5
2M15181871+0205337   1.938 M5
2M15181912+0203272   1.807 M5
2M15181926+0202295   2.283 M5
2M15181946+0157504   1.947 M5
2M15182001+0157421   2.244 M5
2M15182001+0157421   2.258 M5
2M15182014+0203321   1.401 M5
2M15182072+0206414   1.654 M5
2M15182104+0205088   2.199 M5
2M15182126+0204081   2.036 M5
2M15182185+0147091   2.471 M5
2M15182241+0158417   2.276 M5
2M15182262+0206397   1.766 M5
2M15182262+0200305   0.749 M5
2M15182283+0203097   0.997 M5
2M15182324+0159163   1.079 M5
2M15182345+0159572   1.052 M5
2M15182359+0204243   2.252 M5
2M15182373+0202043   2.260 M5
2M15182428+0201090   1.754 M5
2M15182435+0201574   1.190 M5
2M15182438+0200073   1.968 M5
2M15182591+0205076   0.826 M5
2M15182603+0203404   2.273 M5
2M15182676+0204308   2.065 M5
2M15182717+0159524   1.028 M5
2M15182768+0202411   1.911 M5
2M15182784+0209431   2.343 M5
2M15182808+0202119   1.772 M5
2M15182833+0205181   1.946 M5
2M15182846+0159283   2.201 M5
2M15182846+0159283   2.221 M5
2M15182852+0208170   2.304 M5
2M15182917+0159269   2.200 M5
2M15182924+0202063   1.577 M5
2M15182930+0206378   1.873 M5
2M15182935+0203493   1.471 M5
2M15182936+0207499   1.618 M5
2M15183010+0207053   2.288 M5
