id            cl    vrad    teff    logg    feh    cfe    nfe    ofe    mgfe    alfe    sife    cafe    tife    pop limit    rah ram ras decd decm decs J    H    K
2M14051383+2832515    N5466    109.6    4681    1.36    -1.76    9999    9999    9999    0.17    -0.33    0.26    0.44    0.41    1   0   14 05 13.83 +28 32 51.5     12.434 11.867 11.778 
2M14052071+2829419    N5466    107.6    4640    1.31    -1.84    9999    9999    9999    0.17    -0.44    0.30    9999    9999    1   0   14 05 20.71 +28 29 41.9     12.725 12.153 12.056 
2M14052283+2830138    N5466    106.2    4429    0.88    -1.70    -0.56    0.86    0.62    0.09    0.18    0.17    -0.35    9999    2   1   14 05 22.83 +28 30 13.8      11.223 10.606 10.483
2M14053309+2833418    N5466    106.9    4454    0.93    -1.79    -0.56    0.93    0.60    0.12    -0.47    0.20    0.08    9999    1    1   14 05 33.09 +28 33 41.8      11.922 11.297 11.191
2M14053444+2834063    N5466    108.4    4656    1.31    -1.74    9999    9999    9999    0.06    -0.51    0.30    -0.01    0.32    1   0   14 05 34.44 +28 34 06.3     12.448 11.869 11.784 
2M14053928+2831129    N5466    106.8    4398    0.83    -1.90    -0.55    0.74    0.68    0.25    -0.25    0.22    0.05    0.14    1   1   14 05 39.28 +28 31 12.9      11.297 10.661 10.546
2M14054108+2829482    N5466    105.3    4798    1.61    -1.87    9999    9999    9999    0.13    0.43    0.43    0.04    9999    2   0   14 05 41.08 +28 29 48.2      13.092 12.551 12.472
2M16405539+3635433    M13    -247.8    4882    2.03    -1.49    9999    9999    9999    0.24    0.44    0.36    0.19    0.33    1    0       16 40 55.39 +36 35 43.3        12.809 12.281 12.204 
2M16405637+3622185    M13    -249.7    4852    1.98    -1.62    9999    9999    9999    0.07    1.08    0.52    0.58    9999    2   0       16 40 56.37 +36 22 18.5     12.580 12.028 11.966 
2M16410260+3626158    M13    -242.9    5185    2.71    -1.30    9999    9999    9999    -0.14    1.12    0.33    0.07    9999    2   0       16 41 02.60 +36 26 15.8     13.353 12.899 12.833 
2M16410648+3628136    M13    -249.2    4546    1.39    -1.48    -0.43    0.81    0.06    0.19    0.96    0.32    0.22    0.19    2   0       16 41 06.48 +36 28 13.6      11.318 10.722 10.606
2M16410966+3626448    M13    -256.1    4879    2.03    -1.55    9999    9999    9999    0.27    -0.22    0.37    0.43    0.21    1   0       16 41 09.66 +36 26 44.8     13.174 12.660 12.568 
2M16411511+3623538    M13    -247.1    5110    2.55    -1.59    9999    9999    9999    0.10    0.25    0.58    0.53    9999    1   0       16 41 15.11 +36 23 53.8     12.928 12.446 12.388 
2M16411521+3629240    M13    -248.8    4745    1.77    -1.43    9999    9999    9999    0.06    1.16    0.36    0.13    0.20    2   0       16 41 15.21 +36 29 24.0      11.853 11.290 11.206
2M16411583+3633177    M13    -244.8    4964    2.21    -1.49    9999    9999    9999    0.33    0.66    0.37    0.12    0.11    2   0       16 41 15.83 +36 33 17.7     13.271 12.739 12.690 
2M16411700+3625479    M13    -241.7    4627    1.56    -1.46    9999    9999    9999    -0.05    1.17    0.41    0.22    0.25    2   0       16 41 17.00 +36 25 47.9      11.676 11.088 10.991
2M16411882+3628232    M13    -238.9    4940    2.14    -1.60    9999    9999    9999    0.30    0.67    0.34    0.60    0.15    2   0       16 41 18.82 +36 28 23.2     13.365 12.822 12.777 
2M16411948+3630280    M13    -242.4    4748    1.77    -1.57    9999    9999    9999    0.17    0.67    0.29    0.20    0.07    2   0       16 41 19.48 +36 30 28.0     13.453 12.956 12.807 
2M16412450+3629378    M13    -243.6    4909    2.08    -1.43    9999    9999    9999    0.28    -0.30    0.30    0.21    0.14    1   0       16 41 24.50 +36 29 37.8     12.406 11.867 11.809 
2M16413013+3635284    M13    -248.3    4974    2.22    -1.56    9999    9999    9999    0.34    -0.05    0.35    -0.04    0.28    1   0       16 41 30.13 +36 35 28.4     13.143 12.631 12.565 
2M16413082+3630130    M13    -246.5    4950    2.16    -1.50    9999    9999    9999    0.26    0.04    0.39    0.14    0.14    1   0       16 41 30.82 +36 30 13.0     11.846 11.327 11.261 
2M16413945+3632029    M13    -242.6    4926    2.12    -1.43    9999    9999    9999    0.00    1.27    0.33    0.23    0.33    2   0       16 41 39.45 +36 32 02.9     12.929 12.414 12.337 
2M16414291+3626104    M13    -234.8    4748    1.77    -1.51    9999    9999    9999    0.04    1.06    0.49    0.58    0.47    2   0       16 41 42.91 +36 26 10.4     12.082 11.522 11.436 
2M16414295+3619485    M13    -246.1    5162    2.67    -1.50    9999    9999    9999    0.07    -0.13    0.47    0.34    9999    1   0       16 41 42.95 +36 19 48.5     13.101 12.591 12.575 
2M16414394+3624419    M13    -243.2    4902    2.08    -1.49    9999    9999    9999    -0.08    -0.25    0.50    9999    9999    1   0       16 41 43.94 +36 24 41.9     13.312 12.791 12.713 
