;
; APOGEE Detector Map
; -------------------
;
; Derived from File: 400mm FINAL 12-9-08 tol with JCW tol rectangular footprint - optimized at 110K - tol TI3 GJF - john addns.ZMX
; Calculated FRI MAY 29 2009
;
; x (spatial), y (spectral) are spot centroid positions in the focal plane
; positions are relative to the zemax origin at the focal plane
; rms is rms spot radius relative to centroid
;
; Field 1: Top Fiber
; Field 2:
; Field 3: Middle Fiber
; Field 4:
; Field 5: Bottom Fiber
;
; Number of Detectors = 3
; Detector Active Area = 2040 pix
; Detector Pixel Size = 18 micron
; Min Gap between adjacent detector active areas = 2.788 mm
; (May be slightly different for UA mount, but this number is close)
; We desire 10 pix (0.18 micron) engineering slop between edge of detector
; and start of coverage on extreme blue and extreme red edges of wavelength coverage
;
; Blue Wavelengths
; Wavelength (um), Field, x (mm), y (mm), rms (mm)
1.5500, 2.0000, -8.9900, 12.9925, 0.0050
1.5500, 3.0000, 0.0000, 12.9874, 0.0052
1.5500, 4.0000, 8.9900, 12.9925, 0.0050
1.5500, 5.0000, 17.9861, 13.0075, 0.0052
1.5510, 1.0000, -17.9861, 12.4552, 0.0053
1.5510, 2.0000, -8.9900, 12.4404, 0.0050
1.5510, 3.0000, 0.0000, 12.4353, 0.0052
1.5510, 4.0000, 8.9900, 12.4404, 0.0050
1.5510, 5.0000, 17.9861, 12.4552, 0.0053
1.5520, 1.0000, -17.9860, 11.9020, 0.0053
1.5520, 2.0000, -8.9900, 11.8872, 0.0050
1.5520, 3.0000, 0.0000, 11.8823, 0.0052
1.5520, 4.0000, 8.9900, 11.8872, 0.0050
1.5520, 5.0000, 17.9860, 11.9020, 0.0053
1.5530, 1.0000, -17.9860, 11.3477, 0.0053
1.5530, 2.0000, -8.9900, 11.3331, 0.0050
1.5530, 3.0000, 0.0000, 11.3282, 0.0052
1.5530, 4.0000, 8.9900, 11.3331, 0.0050
1.5530, 5.0000, 17.9860, 11.3477, 0.0053
1.5540, 1.0000, -17.9860, 10.7924, 0.0053
1.5540, 2.0000, -8.9900, 10.7780, 0.0050
1.5540, 3.0000, 0.0000, 10.7731, 0.0052
1.5540, 4.0000, 8.9900, 10.7780, 0.0050
1.5540, 5.0000, 17.9860, 10.7924, 0.0053
1.5550, 1.0000, -17.9861, 10.2361, 0.0054
1.5550, 2.0000, -8.9900, 10.2218, 0.0050
1.5550, 3.0000, 0.0000, 10.2170, 0.0052
1.5550, 4.0000, 8.9900, 10.2218, 0.0050
1.5550, 5.0000, 17.9861, 10.2361, 0.0054
1.5560, 1.0000, -17.9861, 9.6788, 0.0054
1.5560, 2.0000, -8.9901, 9.6647, 0.0050
1.5560, 3.0000, 0.0000, 9.6599, 0.0052
1.5560, 4.0000, 8.9901, 9.6647, 0.0050
1.5560, 5.0000, 17.9861, 9.6788, 0.0054
1.5570, 1.0000, -17.9861, 9.1204, 0.0054
1.5570, 2.0000, -8.9901, 9.1065, 0.0050
1.5570, 3.0000, 0.0000, 9.1017, 0.0051
1.5570, 4.0000, 8.9901, 9.1065, 0.0050
1.5570, 5.0000, 17.9861, 9.1204, 0.0054
1.5580, 1.0000, -17.9862, 8.5610, 0.0055
1.5580, 2.0000, -8.9901, 8.5472, 0.0050
1.5580, 3.0000, 0.0000, 8.5425, 0.0051
1.5580, 4.0000, 8.9901, 8.5472, 0.0050
1.5580, 5.0000, 17.9862, 8.5610, 0.0055
1.5590, 1.0000, -17.9863, 8.0006, 0.0055
1.5590, 2.0000, -8.9902, 7.9869, 0.0050
1.5590, 3.0000, 0.0000, 7.9822, 0.0051
1.5590, 4.0000, 8.9902, 7.9869, 0.0050
1.5590, 5.0000, 17.9863, 8.0006, 0.0055
1.5600, 1.0000, -17.9863, 7.4391, 0.0056
1.5600, 2.0000, -8.9902, 7.4255, 0.0050
1.5600, 3.0000, 0.0000, 7.4209, 0.0051
1.5600, 4.0000, 8.9902, 7.4255, 0.0050
1.5600, 5.0000, 17.9863, 7.4391, 0.0056
1.5610, 1.0000, -17.9864, 6.8765, 0.0056
1.5610, 2.0000, -8.9902, 6.8631, 0.0050
1.5610, 3.0000, -0.0000, 6.8586, 0.0051
1.5610, 4.0000, 8.9902, 6.8631, 0.0050
1.5610, 5.0000, 17.9864, 6.8765, 0.0056
1.5620, 1.0000, -17.9865, 6.3129, 0.0057
1.5620, 2.0000, -8.9903, 6.2996, 0.0050
1.5620, 3.0000, -0.0000, 6.2951, 0.0051
1.5620, 4.0000, 8.9903, 6.2996, 0.0050
1.5620, 5.0000, 17.9865, 6.3129, 0.0057
1.5630, 1.0000, -17.9867, 5.7482, 0.0058
1.5630, 2.0000, -8.9904, 5.7351, 0.0050
1.5630, 3.0000, -0.0000, 5.7306, 0.0051
1.5630, 4.0000, 8.9904, 5.7351, 0.0050
1.5630, 5.0000, 17.9867, 5.7482, 0.0058
1.5640, 1.0000, -17.9868, 5.1824, 0.0058
1.5640, 2.0000, -8.9904, 5.1694, 0.0051
1.5640, 3.0000, -0.0000, 5.1650, 0.0051
1.5640, 4.0000, 8.9904, 5.1694, 0.0051
1.5640, 5.0000, 17.9868, 5.1824, 0.0058
1.5650, 1.0000, -17.9869, 4.6155, 0.0059
1.5650, 2.0000, -8.9905, 4.6027, 0.0051
1.5650, 3.0000, -0.0000, 4.5983, 0.0051
1.5650, 4.0000, 8.9905, 4.6027, 0.0051
1.5650, 5.0000, 17.9869, 4.6155, 0.0059
1.5660, 1.0000, -17.9871, 4.0475, 0.0060
1.5660, 2.0000, -8.9906, 4.0349, 0.0051
1.5660, 3.0000, -0.0000, 4.0306, 0.0051
1.5660, 4.0000, 8.9906, 4.0349, 0.0051
1.5660, 5.0000, 17.9871, 4.0475, 0.0060
1.5670, 1.0000, -17.9873, 3.4784, 0.0061
1.5670, 2.0000, -8.9907, 3.4659, 0.0052
1.5670, 3.0000, -0.0000, 3.4617, 0.0051
1.5670, 4.0000, 8.9907, 3.4659, 0.0052
1.5670, 5.0000, 17.9873, 3.4784, 0.0061
1.5680, 1.0000, -17.9875, 2.9082, 0.0062
1.5680, 2.0000, -8.9908, 2.8959, 0.0052
