# Wavelength Field x y rms
1.6760 4.0000 9.0638 -67.7089 0.0104
1.6760 5.0000 18.1349 -67.7299 0.0124
1.6770 1.0000 -18.1380 -68.5034 0.0127
1.6770 2.0000 -9.0654 -68.4818 0.0106
1.6770 3.0000 0.0000 -68.4747 0.0100
1.6770 4.0000 9.0654 -68.4818 0.0106
1.6770 5.0000 18.1380 -68.5034 0.0127
1.6780 1.0000 -18.1412 -69.2802 0.0130
1.6780 2.0000 -9.0670 -69.2579 0.0109
1.6780 3.0000 0.0000 -69.2506 0.0102
1.6780 4.0000 9.0670 -69.2579 0.0109
1.6780 5.0000 18.1412 -69.2802 0.0130
1.6790 1.0000 -18.1445 -70.0602 0.0133
1.6790 2.0000 -9.0686 -70.0373 0.0112
1.6790 3.0000 0.0000 -70.0298 0.0105
1.6790 4.0000 9.0686 -70.0373 0.0112
1.6790 5.0000 18.1445 -70.0602 0.0133
1.6800 1.0000 -18.1478 -70.8435 0.0136
1.6800 2.0000 -9.0702 -70.8200 0.0114
1.6800 3.0000 0.0000 -70.8122 0.0107
1.6800 4.0000 9.0702 -70.8200 0.0114
1.6800 5.0000 18.1478 -70.8435 0.0136
1.6810 1.0000 -18.1512 -71.6303 0.0139
1.6810 2.0000 -9.0719 -71.6060 0.0117
1.6810 3.0000 0.0000 -71.5981 0.0110
1.6810 4.0000 9.0719 -71.6060 0.0117
1.6810 5.0000 18.1512 -71.6303 0.0139
1.6820 1.0000 -18.1546 -72.4204 0.0142
1.6820 2.0000 -9.0736 -72.3955 0.0120
1.6820 3.0000 0.0000 -72.3873 0.0113
1.6820 4.0000 9.0736 -72.3955 0.0120
1.6820 5.0000 18.1546 -72.4204 0.0142
1.6830 1.0000 -18.1581 -73.2140 0.0145
1.6830 2.0000 -9.0753 -73.1884 0.0123
1.6830 3.0000 0.0000 -73.1800 0.0116
1.6830 4.0000 9.0753 -73.1884 0.0123
1.6830 5.0000 18.1581 -73.2140 0.0145
1.6840 1.0000 -18.1616 -74.0111 0.0148
1.6840 2.0000 -9.0771 -73.9848 0.0126
1.6840 3.0000 0.0000 -73.9762 0.0118
1.6840 4.0000 9.0771 -73.9848 0.0126
1.6840 5.0000 18.1616 -74.0111 0.0148
1.6850 1.0000 -18.1652 -74.8118 0.0152
1.6850 2.0000 -9.0789 -74.7848 0.0129
1.6850 3.0000 0.0000 -74.7760 0.0121
1.6850 4.0000 9.0789 -74.7848 0.0129
1.6850 5.0000 18.1652 -74.8118 0.0152
1.6860 1.0000 -18.1689 -75.6162 0.0156
1.6860 2.0000 -9.0807 -75.5884 0.0132
1.6860 3.0000 0.0000 -75.5793 0.0124
1.6860 4.0000 9.0807 -75.5884 0.0132
1.6860 5.0000 18.1689 -75.6162 0.0156
1.6870 1.0000 -18.1727 -76.4242 0.0160
1.6870 2.0000 -9.0825 -76.3957 0.0135
1.6870 3.0000 0.0000 -76.3864 0.0128
1.6870 4.0000 9.0825 -76.3957 0.0135
1.6870 5.0000 18.1727 -76.4242 0.0160
1.6880 1.0000 -18.1766 -77.2360 0.0164
1.6880 2.0000 -9.0844 -77.2067 0.0139
1.6880 3.0000 0.0000 -77.1971 0.0131
1.6880 4.0000 9.0844 -77.2067 0.0139
1.6880 5.0000 18.1766 -77.2360 0.0164
1.6890 1.0000 -18.1805 -78.0515 0.0169
1.6890 2.0000 -9.0864 -78.0216 0.0142
1.6890 3.0000 0.0000 -78.0117 0.0134
1.6890 4.0000 9.0864 -78.0216 0.0142
1.6890 5.0000 18.1805 -78.0515 0.0169
1.6900 1.0000 -18.1844 -78.8709 0.0173
1.6900 2.0000 -9.0884 -78.8403 0.0146
1.6900 3.0000 0.0000 -78.8301 0.0138
1.6900 4.0000 9.0884 -78.8403 0.0146
1.6900 5.0000 18.1844 -78.8709 0.0173
1.6910 1.0000 -18.1884 -79.6941 0.0178
1.6910 2.0000 -9.0903 -79.6628 0.0150
1.6910 3.0000 0.0000 -79.6525 0.0142
1.6910 4.0000 9.0903 -79.6628 0.0150
1.6910 5.0000 18.1884 -79.6941 0.0178
1.6920 1.0000 -18.1925 -80.5212 0.0183
1.6920 2.0000 -9.0925 -80.4893 0.0154
1.6920 3.0000 0.0000 -80.4787 0.0146
1.6920 4.0000 9.0925 -80.4893 0.0154
1.6920 5.0000 18.1925 -80.5212 0.0183
1.6930 1.0000 -18.1967 -81.3525 0.0188
1.6930 2.0000 -9.0944 -81.3198 0.0159
1.6930 3.0000 0.0000 -81.3090 0.0150
1.6930 4.0000 9.0944 -81.3198 0.0159
1.6930 5.0000 18.1967 -81.3525 0.0188
1.6940 1.0000 -18.2009 -82.1876 0.0194
1.6940 2.0000 -9.0966 -82.1543 0.0164
1.6940 3.0000 -0.0000 -82.1433 0.0155
1.6940 4.0000 9.0966 -82.1543 0.0164
1.6940 5.0000 18.2009 -82.1876 0.0194
1.6950 1.0000 -18.2052 -83.0271 0.0199
1.6950 2.0000 -9.0986 -82.9930 0.0169
1.6950 3.0000 -0.0000 -82.9817 0.0159
1.6950 4.0000 9.0986 -82.9930 0.0169
1.6950 5.0000 18.2052 -83.0270 0.0199
1.6960 1.0000 -18.2097 -83.8705 0.0204
1.6960 2.0000 -9.1011 -83.8358 0.0174
1.6960 3.0000 -0.0000 -83.8243 0.0164
1.6960 4.0000 9.1011 -83.8358 0.0174
1.6960 5.0000 18.2097 -83.8705 0.0204
1.6970 1.0000 -18.2140 -84.7185 0.0209
1.6970 2.0000 -9.1030 -84.6830 0.0179
1.6970 3.0000 -0.0000 -84.6712 0.0168
1.6970 4.0000 9.1030 -84.6830 0.0179
1.6970 5.0000 18.2140 -84.7185 0.0209
1.6980 1.0000 -18.2185 -85.5708 0.0212
1.6980 2.0000 -9.1054 -85.5344 0.0183
1.6980 3.0000 -0.0000 -85.5224 0.0174
1.6980 4.0000 9.1054 -85.5344 0.0183
1.6980 5.0000 18.2185 -85.5708 0.0212
