# ID  CHIPNUM  XPIX  WAVE   WAVE_ERR   FLUX  NAME USEWAVE
  260   3 1368.25  15373.0725  1.0     12.76    ?    1
  261   3 1367.02  15373.4827  1.0    129.87   UI    1
  262   3 1360.26  15375.7288  6.0      1.92    ?    1
  263   3 1354.86  15377.5244  1.0     43.40   UI    1
  264   3 1351.91  15378.5059  2.0      5.37    ?    1
  265   3 1329.48  15385.9534  1.0     47.49   UI    1
  266   3 1325.26  15387.3547  2.0      8.02  UII    1
  267   3 1322.67  15388.2141  1.0    180.36   UI    1
  268   3 1321.52  15388.5950  2.0      5.48   UI    1
  269   3 1317.64  15389.8816  1.0    124.27   UI    1
  270   3 1308.85  15392.7966  2.0      3.79   UI    1
  271   3 1308.02  15393.0713  2.0      5.42   UI    1
  272   3 1307.21  15393.3398  1.0      7.82  UII    1
  273   3 1305.05  15394.0552  2.0      4.42   UI    1
  274   3 1299.39  15395.9302  6.0      3.99   Ar    1
  275   3 1295.00  15397.3865  2.0      4.00    ?    1
  276   3 1293.48  15397.8894  3.0      8.54    ?    1
  277   3 1290.96  15398.7219  2.0      2.61   UI    1
  278   3 1285.64  15400.4834  1.0     12.21    ?    1
  279   3 1283.81  15401.0913  2.0      3.31    ?    1
  280   3 1279.38  15402.5586  1.0     12.52   UI    1
  281   3 1278.07  15402.9895  2.0      7.23   UI    1
  282   3 1275.82  15403.7366  3.0      2.75   UI    1
  283   3 1273.78  15404.4104  1.0     26.18   UI    1
  284   3 1271.63  15405.1208  2.0      2.17   UI    1
  285   3 1270.97  15405.3394  3.0      4.36    ?    1
  286   3 1269.48  15405.8313  4.0      2.38   UI    1
  287   3 1267.72  15406.4160  2.0      3.67   UI    1
  288   3 1266.40  15406.8506  1.0    930.59   Ar    1
  289   3 1264.91  15407.3425  2.0     36.19   UI    1
  290   3 1263.79  15407.7136  1.0     12.36    ?    1
  291   3 1262.83  15408.0298  2.0      3.77    ?    1
  292   3 1261.13  15408.5938  3.0      2.19   UI    1
  293   3 1258.77  15409.3726  4.0      3.24   UI    1
  294   3 1255.11  15410.5847  3.0      2.34   UI    1
  295   3 1253.72  15411.0413  3.0      1.95    ?    1
  296   3 1252.95  15411.2964  2.0      9.82   UI    1
  297   3 1252.09  15411.5796  3.0      1.95  UII    1
  298   3 1251.29  15411.8445  2.0      5.20   UI    1
  299   3 1248.50  15412.7661  2.0      2.66   UI    1
  300   3 1246.92  15413.2898  1.0      9.61   UI    1
  301   3 1244.45  15414.1040  2.0      2.76   UI    1
  302   3 1243.24  15414.5032  2.0      2.49   UI    1
  303   3 1242.69  15414.6875  2.0      3.41    ?    1
  304   3 1241.55  15415.0635  3.0      3.84   UI    1
  305   3 1235.60  15417.0276  6.0      3.81  UII    1
  306   3 1233.67  15417.6636  3.0      1.95   UI    1
  307   3 1230.74  15418.6328  1.0     14.74   UI    1
  308   3 1229.35  15419.0906  2.0      3.32   UI    1
  309   3 1225.45  15420.3784  2.0     16.36  UII    1
  310   3 1214.01  15424.1504  2.0      6.60  UII    1
  311   3 1211.39  15425.0134  1.0     39.25   UI    1
  312   3 1209.26  15425.7153  4.0      2.54    ?    1
  313   3 1208.01  15426.1279  2.0      2.61   UI    1
  314   3 1207.57  15426.2744  1.0      7.75   UI    1
  315   3 1206.02  15426.7834  2.0      2.88   UI    1
  316   3 1202.30  15428.0103  4.0      1.74    ?    1
  317   3 1196.71  15429.8499  3.0      3.06   UI    1
  318   3 1189.79  15432.1301  1.0     15.09   UI    1
  319   3 1188.14  15432.6721  1.0     34.08   UI    1
  320   3 1187.11  15433.0115  2.0      5.63   UI    1
  321   3 1181.98  15434.7021  4.0      2.53  UII    1
  322   3 1178.58  15435.8191  2.0      6.86   UI    1
  323   3 1173.40  15437.5244  3.0      2.28   UI    1
  324   3 1172.01  15437.9797  2.0      2.60   UI    1
  325   3 1167.87  15439.3433  1.0      6.57   UI    1
  326   3 1166.70  15439.7266  2.0     10.33   UI    1
  327   3 1166.13  15439.9146  2.0     18.00  UII    1
  328   3 1163.98  15440.6201  3.0      5.56    ?    1
  329   3 1157.70  15442.6855  3.0      1.34    ?    1
  330   3 1152.90  15444.2639  2.0     12.01    ?    1
  331   3 1150.36  15445.0989  1.0     11.85   UI    1
  332   3 1147.15  15446.1536  1.0     14.29   UI    1
  333   3 1145.63  15446.6516  3.0      4.35    ?    1
  334   3 1133.28  15450.7056  2.0      2.12    ?    1
  335   3 1132.52  15450.9546  1.0     64.63   Ar    1
  336   3 1130.57  15451.5967  1.0     36.65   UI    1
  337   3 1129.29  15452.0154  4.0      2.72  UII    1
  338   3 1128.48  15452.2803  2.0      4.12   UI    1
  339   3 1127.65  15452.5537  1.0     16.93   UI    1
  340   3 1124.05  15453.7354  1.0     49.91   UI    1
  341   3 1119.27  15455.3015  2.0      3.87   UI    1
  342   3 1118.78  15455.4614  4.0      3.32  UII    1
  343   3 1118.19  15455.6555  2.0     16.26   UI    1
  344   3 1115.25  15456.6187  3.0      2.38   UI    1
  345   3 1109.49  15458.5071  2.0     86.08   UI    1
  346   3 1104.46  15460.1575  2.0      6.38  UII    1
  347   3 1101.79  15461.0315  1.0     33.59  UII    1
  348   3 1099.99  15461.6211  3.0      3.35    ?    1
  349   3 1098.96  15461.9568  3.0      5.31   UI    1
  350   3 1098.18  15462.2131  2.0      5.37   UI    1
  351   3 1094.29  15463.4863  2.0      2.83   UI    1
  352   3 1091.16  15464.5129  2.0      7.83    ?    1
  353   3 1090.09  15464.8621  2.0      4.60   UI    1
  354   3 1088.24  15465.4700  2.0      8.96  UII    1
  355   3 1082.81  15467.2449  1.0     34.14   UI    1
  356   3 1081.57  15467.6501  2.0     13.31  UII    1
  357   3 1076.11  15469.4385  2.0      3.67  UII    1
  358   3 1073.48  15470.2979  4.0      2.88    ?    1
  359   3 1072.00  15470.7812  3.0      3.32   UI    1
  360   3 1067.51  15472.2498  2.0      8.66    ?    1
  361   3 1060.69  15474.4788  1.0     51.62   UI    1
  362   3 1059.77  15474.7815  3.0      2.83   UI    1
  363   3 1053.25  15476.9104  3.0      1.81    ?    1
  364   3 1051.34  15477.5354  2.0      3.80   UI    1
  365   3 1046.47  15479.1235  2.0      8.50   UI    1
  366   3 1045.31  15479.5032  2.0      5.04   UI    1
  367   3 1040.75  15480.9924  2.0      4.85  UII    1
  368   3 1035.59  15482.6758  3.0      3.25  UII    1
  369   3 1032.99  15483.5254  2.0      2.57   UI    1
  370   3 1029.86  15484.5471  2.0      4.27   UI    1
  371   3 1028.46  15485.0024  2.0      3.64   UI    1
  372   3 1024.88  15486.1694  4.0      2.36   UI    1
  373   3 1020.65  15487.5513  1.0      9.16   UI    1
  374   3 1017.81  15488.4766  4.0      1.57   UI    1
  375   3 1012.01  15490.3674  4.0      2.86   UI    1
  376   3  998.95  15494.6216  2.0      2.26   UI    1
  377   3  991.92  15496.9116  5.0      1.68    ?    1
  378   3  980.90  15500.4956  2.0      7.01   UI    1
  379   3  979.65  15500.9045  2.0      5.86    ?    1
  380   3  979.21  15501.0474  2.0     24.65   UI    1
  381   3  978.83  15501.1694  2.0      7.63   UI    1
  382   3  976.85  15501.8152  1.0    163.80   UI    1
  383   3  972.64  15503.1824  2.0     32.76  UII    1
  384   3  971.11  15503.6804  1.0     31.99   UI    1
  385   3  970.07  15504.0198  3.0      1.76   UI    1
  386   3  969.39  15504.2407  2.0      2.39   UI    1
  387   3  962.74  15506.4026  2.0      2.41   UI    1
  388   3  961.77  15506.7175  2.0      5.23   UI    1
  389   3  959.73  15507.3779  3.0      4.16   UI    1
  390   3  951.72  15509.9817  2.0     15.83   UI    1
  391   3  949.00  15510.8643  2.0     52.59   UI    1
  392   3  947.85  15511.2378  3.0      4.13   UI    1
  393   3  945.88  15511.8774  2.0      2.84    ?    1
  394   3  944.89  15512.1997  3.0      1.91   UI    1
  395   3  943.71  15512.5806  1.0      9.39   UI    1
  396   3  939.41  15513.9771  2.0     11.58   UI    1
  397   3  935.64  15515.2002  2.0      7.30  UII    1
  398   3  931.00  15516.7053  1.0     10.04   UI    1
  399   3  928.92  15517.3816  2.0     13.88  UII    1
  400   3  927.59  15517.8125  2.0      3.30   UI    1
  401   3  923.70  15519.0723  1.0     43.70   UI    1
  402   3  911.81  15522.9260  2.0      3.84   UI    1
