# Wavelength Field  x y rms
1.6320 4.0000 9.0159 -36.3412 0.0054
1.6320 5.0000 18.0380 -36.3429 0.0065
1.6330 1.0000 -18.0394 -37.0078 0.0066
1.6330 2.0000 -9.0166 -37.0058 0.0055
1.6330 3.0000 -0.0000 -37.0053 0.0052
1.6330 4.0000 9.0166 -37.0058 0.0055
1.6330 5.0000 18.0394 -37.0079 0.0066
1.6340 1.0000 -18.0409 -37.6747 0.0067
1.6340 2.0000 -9.0173 -37.6723 0.0055
1.6340 3.0000 -0.0000 -37.6717 0.0052
1.6340 4.0000 9.0173 -37.6723 0.0055
1.6340 5.0000 18.0409 -37.6747 0.0067
1.6350 1.0000 -18.0424 -38.3434 0.0068
1.6350 2.0000 -9.0181 -38.3408 0.0056
1.6350 3.0000 -0.0000 -38.3400 0.0053
1.6350 4.0000 9.0181 -38.3408 0.0056
1.6350 5.0000 18.0424 -38.3434 0.0068
1.6360 1.0000 -18.0440 -39.0142 0.0069
1.6360 2.0000 -9.0188 -39.0112 0.0056
1.6360 3.0000 -0.0000 -39.0103 0.0053
1.6360 4.0000 9.0188 -39.0112 0.0056
1.6360 5.0000 18.0440 -39.0142 0.0069
1.6370 1.0000 -18.0455 -39.6869 0.0070
1.6370 2.0000 -9.0196 -39.6835 0.0057
1.6370 3.0000 -0.0000 -39.6826 0.0053
1.6370 4.0000 9.0196 -39.6835 0.0057
1.6370 5.0000 18.0455 -39.6869 0.0070
1.6380 1.0000 -18.0471 -40.3616 0.0071
1.6380 2.0000 -9.0204 -40.3579 0.0058
1.6380 3.0000 -0.0000 -40.3568 0.0054
1.6380 4.0000 9.0204 -40.3579 0.0058
1.6380 5.0000 18.0471 -40.3616 0.0071
1.6390 1.0000 -18.0487 -41.0383 0.0072
1.6390 2.0000 -9.0212 -41.0343 0.0059
1.6390 3.0000 -0.0000 -41.0331 0.0055
1.6390 4.0000 9.0212 -41.0343 0.0059
1.6390 5.0000 18.0487 -41.0383 0.0072
1.6400 1.0000 -18.0504 -41.7170 0.0074
1.6400 2.0000 -9.0220 -41.7127 0.0060
1.6400 3.0000 -0.0000 -41.7114 0.0056
1.6400 4.0000 9.0220 -41.7127 0.0060
1.6400 5.0000 18.0504 -41.7170 0.0074
1.6410 1.0000 -18.0520 -42.3978 0.0075
1.6410 2.0000 -9.0228 -42.3931 0.0061
1.6410 3.0000 -0.0000 -42.3917 0.0056
1.6410 4.0000 9.0228 -42.3931 0.0061
1.6410 5.0000 18.0520 -42.3978 0.0075
1.6420 1.0000 -18.0537 -43.0807 0.0077
1.6420 2.0000 -9.0237 -43.0757 0.0062
1.6420 3.0000 -0.0000 -43.0741 0.0057
1.6420 4.0000 9.0237 -43.0757 0.0062
1.6420 5.0000 18.0537 -43.0807 0.0077
1.6430 1.0000 -18.0555 -43.7657 0.0078
1.6430 2.0000 -9.0245 -43.7603 0.0063
1.6430 3.0000 -0.0000 -43.7586 0.0059
