APOGEE_ID,DDO51,DDO51ERR,M,MERR,T2,T2ERR
2M10130058-0125468,18.071,0.02,17.977,0.023,16.519,0.031
2M10130068-0151225,18.351002,0.015556349,18.403,0.016985288,16.9005,0.014916434
2M10130173-0219426,11.5775,0.019697715,11.5235,0.027577164,10.8815,0.032280024
2M10130429-0134589,18.636,0.021,18.675,0.026,17.248,0.03
2M10130561-0155326,14.781,0.02,14.793,0.021,13.622,0.016
2M10130590-0128001,18.383,0.019,18.411,0.023,16.951,0.025
2M10130590-0128001,0.0,0.0,0.0,0.0,0.0,0.0
2M10130701-0159088,14.062,0.02,13.938,0.021,12.665,0.017
2M10130762-0135592,17.509,0.018,17.576,0.022,16.068,0.022
2M10130818-0144502,18.821,0.021,18.662,0.025,16.911,0.027
2M10130818-0144502,0.0,0.0,0.0,0.0,0.0,0.0
2M10130976-0059240,0.0,0.0,0.0,0.0,0.0,0.0
2M10131052-0131154,17.966,0.019,17.987,0.022,16.331,0.022
2M10131154-0143017,17.817,0.019,17.863,0.023,16.239,0.022
2M10131239-0204329,18.7115,0.01811767,18.765999,0.018062392,17.389,0.022610838
2M10131514-0117200,12.499,0.017,12.467,0.019,11.118,0.021
2M10131747-0054279,11.693,0.018,11.634,0.021,9.961,0.063
2M10131831-0129318,18.252,0.019,18.335,0.023,16.758,0.024
2M10131857-0134502,18.207,0.019,18.258,0.023,16.804,0.022
2M10131874-0131139,18.342,0.019,18.423,0.023,16.907,0.023
2M10132117-0217239,18.524,0.021,18.538,0.018,17.369,0.027
2M10132117-0217239,0.0,0.0,0.0,0.0,0.0,0.0
2M10132217-0053045,14.861,0.018,14.54,0.018,12.689,0.023
AP10132290-0128350,18.765,0.021,18.748,0.025,17.764,0.034
2M10132292-0122272,18.097,0.018,18.169,0.021,16.568,0.022
2M10132417-0149004,12.07,0.02,12.071,0.022,11.229,0.016
2M10132417-0149004,0.0,0.0,0.0,0.0,0.0,0.0
2M10132446-0212037,18.414,0.019,18.432,0.018,16.982,0.023
2M10132473-0056262,0.0,0.0,0.0,0.0,0.0,0.0
2M10132601-0103470,13.713,0.018,13.697,0.018,12.653,0.023
2M10132690-0139514,0.0,0.0,0.0,0.0,0.0,0.0
2M10132736-0134051,18.165,0.023,18.223,0.025,16.695,0.023
2M10132747-0136275,18.444,0.02,18.442,0.025,17.11,0.025
2M10133004-0123428,18.437,0.02,18.496,0.022,16.93,0.024
2M10133080-0223178,18.481,0.022,18.526,0.02,17.204,0.03
2M10133094-0152148,17.952,0.021,18.003,0.023,16.361,0.019
