KIC_ID,2MASS_ID,ES_AST,ES_SP,CAT,LOGG_SEIS,SIG_LOGG_SEIS,dlogg,NUMAX_WTCOR,SIG_NUM_WTCOR,TEFF_FIT,TEFF_COR,TEFF_COR_ERR,LOGG_FIT,LOGG_COR,LOGG_COR_ERR,FE_H_ADOP_FIT,FE_H_ADOP_COR,FE_H_ADOP_COR_ERR,ALP_FE_ADOP_FIT,ALP_FE_ADOP_COR,ALP_FE_ADOP_COR_ERR,FE_H_RAW,C_M_RAW,N_M_RAW,C_N_RAW,Delta_T
11073377,2M19031355+4838143,1,1,1,2.244727652,0.004003258,0.103597252,23.0439,0.0044,4242.7,4319.37,70.58888,2.4114,2.1411304,0.050346833,0.2742,0.27463844,0.005364744,0.062194,0.028703,0.005121482,0.2742,0.05176,0.29558,-0.24382,-75.65170506
11560044,2M19292773+4931541,2,2,1,2.244871294,0.006509075,-0.045564706,22.6726,0.0127,4385.7,4457.4434,72.66203,2.5215,2.290436,0.02523356,0.38944,0.38987845,0.004994295,0.028645,-0.004846001,0.004818106,0.38944,0.095668,0.20802,-0.112352,109.7991335
8389387,2M19561600+4419573,1,1,1,2.245318795,0.007690384,-0.006709705,22.3523,0.0155,4521.6,4619.347,81.77758,2.4467,2.2520285,0.06254409,-0.2775,-0.27706155,0.007025569,0.054827,0.021336,0.007411127,-0.2775,-0.074622,0.23526,-0.309882,-109.5704721
9395535,2M19104429+4555106,1,1,1,2.246161702,0.004243438,-0.039134698,22.5696,0.0044,4452.2,4552.7646,80.179726,2.4777,2.2852964,0.06167914,-0.28475,-0.28431156,0.007026833,0.10131,0.067819,0.007367127,-0.28101,0.034508,0.1137,-0.079192,-117.7250833
10784996,2M19052717+4809030,1,1,1,2.246192826,0.004138283,0.050608326,22.7487,0.0044,4383,4472.915,76.298874,2.4237,2.1955845,0.056657027,-0.035631,-0.03519255,0.006195956,0.053398,0.019906998,0.006264139,-0.035631,0.0069945,0.1692,-0.1622055,-64.47267595
4378473,2M19394334+3929329,1,1,1,2.246308753,0.00424869,0.050219953,22.5879,0.0044,4448,4549.3154,80.244286,2.3895,2.1960888,0.061920278,-0.30231,-0.30187154,0.007089077,0.12953,0.096039,0.007443352,-0.30231,0.05825,0.25547,-0.19722,-123.4545691
11717920,2M19374067+4953426,1,1,1,2.247360921,0.005186361,0.016833021,22.4158,0.0044,4538.5,4650.4443,104.44879,2.3768,2.2305279,0.065531366,-0.6555,-0.65506154,0.012286774,0.25046,0.216969,0.012481215,-0.65056,0.029305,0.21949,-0.190185,-189.2889976
9933717,2M18484596+4648193,1,1,1,2.247474533,0.004771505,0.055746533,22.6933,0.0053,4430.5,4536.4907,88.234505,2.371,2.191728,0.061834123,-0.41168,-0.41124156,0.008821839,0.21858,0.18508899,0.009023647,-0.41168,0.10871,0.076733,0.031977,-102.3448268
5289571,2M19425382+4025243,1,1,1,2.248115981,0.004270027,-0.029370319,22.4422,0.0042,4543.6,4643.309,83.33457,2.4575,2.2774863,0.06472842,-0.38314,-0.38270155,0.00742647,0.079306,0.045815,0.007941078,-0.38314,0.010576,0.17513,-0.164554,-93.28159126
9946067,2M19180539+4648157,1,1,1,2.249063224,0.004302942,0.015447824,22.841,0.0053,4405.5,4491.0767,75.904785,2.4734,2.2336154,0.05537119,0.065847,0.066285454,0.005881812,0.029067,-0.004424,0.005897589,0.065856,-0.0034269,0.27588,-0.2793069,-60.75366777
7821913,2M19263360+4334096,1,1,1,2.249811244,0.004426345,0.050283544,22.8147,0.0044,4430.9,4526.641,84.04237,2.4098,2.1995277,0.05824703,-0.17192,-0.17148155,0.007513953,0.087874,0.054383002,0.007549029,-0.17192,0.038031,0.20483,-0.166799,-77.16185638
3233508,2M19240986+3823300,1,1,1,2.250265986,0.004427178,0.018433286,22.921,0.0053,4399.1,4485.899,78.886986,2.468,2.2318327,0.055078182,0.037261,0.037699454,0.006397394,0.036201,0.00271,0.006331346,0.037261,0.008934,0.18835,-0.179416,-43.36358724
3343186,2M19265003+3826277,1,2,1,2.250514221,0.004606335,-0.094682279,22.8447,0.0044,4433.6,4509.0283,87.91696,2.6308,2.3451965,0.02800996,0.30325,0.30368847,0.007117308,0.014472,-0.019019,0.006509824,0.30325,0.071699,0.20384,-0.132141,48.09536634
10332186,2M19145500+4727237,2,2,1,2.250655773,0.004447083,-0.079786227,22.5468,0.0056,4554.5,4638.2134,80.30691,2.6037,2.330442,0.032048535,-0.038563,-0.038124546,0.006242985,0.046601,0.013110001,0.006430259,-0.040397,0.054048,0.098273,-0.044225,51.42264308
3343621,2M19271533+3828186,1,1,1,2.250927603,0.004842572,-0.069053697,22.6176,0.0044,4531.7,4635.023,95.99606,2.4915,2.3199813,0.06267235,-0.43536,-0.43492156,0.009877658,0.11493,0.081438996,0.010018895,-0.43536,0.081951,0.11158,-0.029629,-101.3120989
8217977,2M18593221+4408012,2,2,1,2.251198964,0.004832344,-0.047341036,22.3082,0.0056,4664.1,4745.7695,92.23179,2.5394,2.29854,0.037986208,-0.2884,-0.28796154,0.008317294,0.14461,0.111119,0.008583728,-0.2873,0.12818,0.066744,0.061436,109.8863895
9835853,2M19352912+4638019,1,1,1,2.251278806,0.004214726,-0.057328094,23.2062,0.0053,4311.7,4388.1978,72.01415,2.5722,2.3086069,0.051093757,0.27823,0.27866846,0.005308823,0.013992,-0.019499,0.005127854,0.26562,0.046506,0.32262,-0.276114,-105.206803
3648327,2M19283395+3843478,1,1,1,2.25139151,0.004740887,0.07514491,22.9492,0.0053,4411.1,4515.9346,87.09355,2.3595,2.1762466,0.061179087,-0.38463,-0.38419154,0.008635794,0.22126,0.187769,0.008800633,-0.38463,0.1141,0.11044,0.00366,-112.2787788
6044646,2M19300387+4119202,1,1,1,2.251471622,0.004539957,0.076515322,22.7329,0.0053,4497.1,4603.027,83.779816,2.3549,2.1749563,0.06419727,-0.41019,-0.40975153,0.007729177,0.13139,0.097899005,0.008201355,-0.41019,0.043032,0.1578,-0.114768,-78.52847616
12253381,2M19142029+5055317,1,1,1,2.253265609,0.005728446,-0.167417091,21.8865,0.0053,4891.9,5001.9663,122.36755,2.4414,2.4206827,0.09316816,-1.5713,-1.5708616,0.019242268,0.30229,0.268799,0.022257937,-1.5713,-0.23081,0.013428,-0.244238,-345.4181038
10345661,2M19364502+4725373,1,1,1,2.254194904,0.004572641,-0.078075196,22.7643,0.0044,4541.3,4638.204,89.62904,2.5192,2.3322701,0.0617938,-0.31129,-0.31085154,0.00834467,0.11004,0.076549,0.008554611,-0.31462,0.070154,0.1475,-0.077346,-58.7174558
12208273,2M19251288+5052165,1,1,1,2.254230158,0.004527527,-0.032348242,22.7983,0.0053,4528.5,4634.7,84.04306,2.4519,2.2865784,0.06651653,-0.49398,-0.49354154,0.007844984,0.13378,0.100289,0.008482019,-0.49398,0.053904,0.10133,-0.047426,-117.6437102
