KEPLER_INT,2MASS_ID
2579142,2M19283738+3750548
2579661,2M19290451+3753345
2580198,2M19293168+3749492
2580691,2M19295811+3748244
2580928,2M19300964+3753417
2580979,2M19301228+3751209
2581074,2M19301828+3751469
2581191,2M19302405+3749554
2581258,2M19302768+3749436
2581316,2M19303059+3751364
2581452,2M19303947+3751332
2581533,2M19304455+3753015
2581554,2M19304566+3750059
2582764,2M19314589+3753239
2582784,2M19314740+3750046
2582800,2M19314857+3751256
2583386,2M19321986+3751336
2583472,2M19322442+3749392
2583651,2M19323428+3748489
2583658,2M19323458+3751320
2583777,2M19324014+3750290
2583884,2M19324627+3751249
2584163,2M19330098+3750463
2584202,2M19330319+3748578
2584477,2M19331715+3749192
2584478,2M19331716+3753593
2584692,2M19332875+3752291
2692151,2M19021972+3755444
2692438,2M19024332+3759573
2692704,2M19030609+3755220
2692708,2M19030640+3755261
2693047,2M19033430+3758467
2693092,2M19033716+3755411
2693261,2M19034982+3755463
2693557,2M19041500+3754098
2693967,2M19044478+3757204
2694337,2M19050860+3754348
2694606,2M19052805+3759306
2694632,2M19052961+3755084
2694741,2M19053895+3754295
2695129,2M19060770+3755482
2695222,2M19061589+3758374
2695267,2M19061931+3756414
2695478,2M19063598+3756247
2695592,2M19064544+3754106
2695975,2M19071591+3756306
2696115,2M19072857+3757078
2696120,2M19072947+3758004
2696262,2M19074020+3757048
2696628,2M19080792+3758059
2696732,2M19081605+3757052
2696739,2M19081665+3755043
2696944,2M19083235+3755503
2697082,2M19084201+3756199
2697501,2M19091637+3754037
2697935,2M19095228+3757599
2706683,2M19194601+3756520
2706788,2M19195275+3758068
2706911,2M19200016+3754000
2707097,2M19201091+3756217
2707109,2M19201130+3755026
2707312,2M19202345+3754578
2707336,2M19202480+3756370
2707478,2M19203303+3755558
2707490,2M19203357+3755433
2707526,2M19203493+3758151
2707716,2M19204570+3754354
2708001,2M19210132+3758280
2708156,2M19210890+3756114
2708172,2M19211002+3758518
2708270,2M19211542+3756528
2708803,2M19214847+3757485
2708991,2M19215971+3756169
2709221,2M19221231+3757205
2709271,2M19221547+3757476
2709877,2M19225059+3755438
2710002,2M19225766+3756063
2710101,2M19230393+3755006
2710194,2M19230991+3755447
2710357,2M19231859+3759125
2710472,2M19232588+3755303
2710631,2M19233616+3758388
2711114,2M19240341+3758109
2711123,2M19240366+3758039
2711432,2M19242115+3758141
2711477,2M19242353+3759496
2711573,2M19242875+3758587
2712561,2M19251917+3757427
2712761,2M19252992+3759159
2712825,2M19253314+3759248
2713049,2M19254559+3754203
2713187,2M19255300+3756201
2713291,2M19255816+3759044
2713305,2M19255860+3757452
2713894,2M19262891+3758173
2714090,2M19263881+3758455
2714108,2M19263975+3754171
2714336,2M19265159+3758596
2714397,2M19265491+3756300
2714470,2M19265921+3759528
2714635,2M19270885+3755180
2714785,2M19271735+3755229
2714951,2M19272710+3759486
2715019,2M19273113+3757539
2715041,2M19273198+3754382
2715135,2M19273678+3754082
2715157,2M19273854+3755310
2715523,2M19275842+3757409
2715686,2M19280755+3759230
2715695,2M19280803+3758283
2715836,2M19281594+3755558
2715920,2M19281966+3754489
2716376,2M19284054+3758565
2716608,2M19285203+3754010
2716732,2M19285817+3759261
2717082,2M19291565+3756021
2717158,2M19291928+3759494
2718321,2M19302019+3757321
2718397,2M19302447+3757286
2718678,2M19304025+3759225
2718874,2M19305128+3755315
2719113,2M19310386+3759524
2719795,2M19313875+3758224
2719873,2M19314334+3757519
2720016,2M19315040+3756338
2720096,2M19315497+3754393
2720162,2M19315854+3756272
2720354,2M19320866+3757170
2720444,2M19321333+3756033
2720447,2M19321342+3759511
2720751,2M19322980+3758107
2720777,2M19323113+3758399
2721824,2M19332512+3755217
2722192,2M19334305+3759516
2831091,2M19020577+3803187
2831101,2M19020623+3803195
2831113,2M19020662+3804074
2831252,2M19021620+3804489
2831290,2M19021928+3803030
2831788,2M19025800+3801446
2831815,2M19025956+3802049
2831923,2M19030829+3800003
2831983,2M19031280+3801413
2832099,2M19032280+3805032
2832215,2M19033225+3801078
2832426,2M19034933+3800119
2832511,2M19035587+3804378
2833020,2M19043433+3804411
2833089,2M19043952+3802350
2833554,2M19051120+3803257
2833697,2M19052193+3803206
2833709,2M19052220+3803266
2833811,2M19052898+3801055
2833995,2M19054282+3804403
2834230,2M19060000+3803403
2834379,2M19061346+3805157
2834481,2M19062278+3803152
2834607,2M19063334+3800112
2834796,2M19064761+3804324
2835067,2M19070896+3803201
2835270,2M19072520+3804519
2835283,2M19072576+3804419
2835457,2M19074072+3804506
2835473,2M19074186+3805451
2835657,2M19075631+3804160
2835720,2M19080077+3803579
2835893,2M19081366+3804037
2836038,2M19082467+3805588
2837133,2M19094785+3804214
2837276,2M19095805+3801201
2837475,2M19101163+3804559
2837744,2M19103446+3803555
2845408,2M19191455+3805185
2845610,2M19192741+3801411
2846051,2M19195297+3800069
2846659,2M19202786+3800415
2846944,2M19204543+3801187
2847114,2M19205548+3800385
2847282,2M19210654+3804092
2847313,2M19210818+3805083
2847541,2M19212261+3802019
2847816,2M19213976+3801176
2847821,2M19214019+3802394
2847978,2M19215023+3804207
2848040,2M19215337+3801542
2848295,2M19220711+3802035
2848618,2M19222484+3803157
2848725,2M19223049+3800110
2848857,2M19223821+3805431
2848887,2M19224052+3802014
2848919,2M19224233+3800137
2849125,2M19225536+3805084
2849140,2M19225598+3800259
2849162,2M19225689+3802231
2849433,2M19231315+3804443
2849476,2M19231591+3801262
2849721,2M19232891+3801245
2849788,2M19233155+3803429
2849805,2M19233232+3803272
2849969,2M19234087+3803225
2850010,2M19234251+3802373
2850321,2M19235995+3800009
2850480,2M19240900+3801141
2850913,2M19243259+3801289
2851014,2M19243735+3801009
2851135,2M19244292+3800227
2852181,2M19253308+3800125
2852810,2M19260378+3803303
2852862,2M19260620+3802366
2852941,2M19261042+3802555
2852961,2M19261136+3803107
2853029,2M19261553+3804285
2853093,2M19261900+3802089
2853446,2M19263623+3801414
2853469,2M19263751+3804335
2853765,2M19265404+3803496
2853780,2M19265500+3804120
2853886,2M19270025+3805261
2854181,2M19271512+3805174
2854297,2M19272145+3800113
2854518,2M19273274+3804430
2854698,2M19274223+3800508
2854735,2M19274387+3805552
2854863,2M19275114+3803548
2854914,2M19275428+3803182
2854994,2M19275853+3803252
2855034,2M19280080+3804523
2855541,2M19282380+3802304
2855687,2M19283121+3801406
2856124,2M19285108+3801505
2856193,2M19285378+3804063
2856294,2M19285952+3801286
2856328,2M19290103+3803497
2856412,2M19290517+3803467
2856422,2M19290587+3802379
2856549,2M19291241+3803596
2856589,2M19291467+3803394
2856756,2M19292239+3802593
2856769,2M19292299+3805083
2856795,2M19292444+3801077
2856803,2M19292463+3803437
2856815,2M19292495+3800161
2857607,2M19300352+3801194
2858134,2M19303217+3803416
2858435,2M19304772+3805384
2858440,2M19304793+3800478
2858740,2M19310450+3801429
2859024,2M19311848+3803172
2859567,2M19314584+3801121
2859700,2M19315327+3800239
2859830,2M19320042+3801031
2860010,2M19320975+3800165
2860123,2M19321641+3803366
2860452,2M19323239+3805082
2860594,2M19323958+3804088
2860656,2M19324218+3802312
2860746,2M19324674+3804184
2860788,2M19324975+3800325
2860851,2M19325291+3802119
2860936,2M19325804+3802361
2861126,2M19330746+3804560
2861298,2M19331647+3800197
2861403,2M19332146+3802538
2861630,2M19333419+3803329
2968572,2M19012900+3809365
2968811,2M19014820+3807019
2968820,2M19014918+3809251
2968828,2M19014964+3808511
2969151,2M19021775+3811277
2969216,2M19022257+3807188
2969568,2M19024980+3809033
2969655,2M19025666+3806148
2969991,2M19032293+3810261
